Unix time,BSSID,Signal strength(-dBm),SSID,Longitude,Latitude,GPS Accuracy,AP Capabilities, Channel, Frequency
1515969317000,b4:e9:b0:ef:61:13,-60,SJSU_MyDevice,-121.88536877,37.33821742,27,[ESS][P2P][BLE],,62437
1515969320000,b4:e9:b0:ef:61:1c,-59,SJSU_MyDevice,-121.88536848,37.3382003,53,[ESS][P2P][BLE],,-5220
1515969320000,b4:e9:b0:ef:61:1d,-59,SJSU_Guest,-121.88536848,37.3382003,53,[ESS][BLE],,-5220
1515969320000,b4:e9:b0:ef:61:1e,-59,eduroam,-121.88536848,37.3382003,53,[WPA2-EAP-CCMP][ESS][BLE],,-5220
1515969320000,b4:e9:b0:ef:61:1f,-59,SJSU_premier,-121.88536848,37.3382003,53,[WPA2-EAP-CCMP][ESS][BLE],,-5220
1515969399000,b4:e9:b0:ef:61:e0,-80,SJSU_premier,-121.88167439,37.33676861,5,[WPA2-EAP-CCMP][ESS][BLE],,12412
1515969397000,b4:e9:b0:ef:61:e3,-76,SJSU_MyDevice,-121.88166378,37.33678398,5,[ESS][P2P][BLE],,12412
1515969314000,b4:e9:b0:ef:61:ec,-85,SJSU_MyDevice,-121.88536905,37.33823119,19,[ESS][P2P][BLE],,-5180
1515969297000,b4:e9:b0:ef:61:ed,-88,SJSU_Guest,-121.88527248,37.33840275,31,[ESS][BLE],,-5180
1515969299000,b4:e9:b0:ef:61:ee,-88,eduroam,-121.885344,37.33831421,28,[WPA2-EAP-CCMP][ESS][BLE],,-5180
1515969314000,b4:e9:b0:ef:61:ef,-85,SJSU_premier,-121.88536905,37.33823119,19,[WPA2-EAP-CCMP][ESS][BLE],,-5180
1515969394000,b4:e9:b0:ef:65:c2,-75,SJSU_Guest,-121.88164784,37.33680986,5,[ESS][BLE],,112462
1515969299000,c0:c1:c0:e5:31:05,-84,,-121.885344,37.33831421,28,[WPA2-PSK-CCMP][ESS],,62437
1515969397000,cc:d5:39:89:2e:f3,-82,SJSU_MyDevice,-121.88166378,37.33678398,5,[ESS][P2P][BLE],,62437
1515969397000,cc:d5:39:89:2e:fd,-82,SJSU_Guest,-121.88166378,37.33678398,5,[ESS][BLE],,-5180
1515969314000,cc:d5:39:89:2f:00,-83,SJSU_premier,-121.88536905,37.33823119,19,[WPA2-EAP-CCMP][ESS][BLE],,62437
1515969314000,cc:d5:39:89:2f:01,-83,eduroam,-121.88536905,37.33823119,19,[WPA2-EAP-CCMP][ESS][BLE],,62437
1515969314000,cc:d5:39:89:2f:02,-82,SJSU_Guest,-121.88536905,37.33823119,19,[ESS][BLE],,62437
1515969314000,cc:d5:39:89:2f:03,-83,SJSU_MyDevice,-121.88536905,37.33823119,19,[ESS][P2P][BLE],,62437
1515969297000,cc:d5:39:89:2f:0c,-86,SJSU_MyDevice,-121.88527248,37.33840275,31,[ESS][P2P][BLE],,-5500
1515969297000,cc:d5:39:89:2f:0d,-85,SJSU_Guest,-121.88527248,37.33840275,31,[ESS][BLE],,-5500
1515969299000,cc:d5:39:89:2f:0e,-85,eduroam,-121.885344,37.33831421,28,[WPA2-EAP-CCMP][ESS][BLE],,-5500
